title,subtitle,categories,description,series,edition,firstPublishDate,published_year,characters,format,isbn10,isbn13,asin,image_url,average_rating,awards,bbeScore,bbeVotes,isBestSeller,isEditorsPick,isGoodReadsChoice,likedPercent,numRatings,pages,publisher,ratingsByStars,ratings_count,setting,soldBy,author_list
الأخدود,,"['Fiction', 'Novels', 'Literature', 'Historical Fiction', 'Politics', 'Cultural']","الصراع الذي بدأت بوادره في ”التيه” يتصاعد ويتسع في الأخدود، بعد أن تم تشييد مدن الحديد والاسمنت، و بعد أن أخذت السلطة تعتمد على القوة والقمع من أجل الإخضاع ثم الترويض.وفي عالم التجاذب والاستقطاب، ولأن الناس غيبوا, تصبح الحكومات امتداداً لإرادة الأجنبي ورغباته، وتصبح الثروة وسيلة للضعف لا للقوة، من خلال الأنفاق والتبديد على المظاهر والاستهلاك، لا من أجل الاستقلال والإعداد للمستقبل، وهكذا يزداد الشرخ، ويتسع الأخدود، ويصبح المستقبل رهاناً على المجهول.",مدن الملح #2,,11/06/85,Published,[],Paperback,,9999999999999,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1244905986l/6545036.jpg,4.16,[],82.0,1.0,,,,96.0,1484.0,622,المركز الثقافي العربي,"['629', '540', '249', '53', '13']",,[],,['Abdul Rahman Munif']
Минувшие дни,,[],,,,,1958,[],Hardcover,,9782369427872,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1512266401l/36781647._SY475_.jpg,4.4,[],91.0,1.0,,,,93.0,58.0,375,Государственное издательство художественной литературы Узбекской ССР,"['39', '9', '6', '2', '2']",,[],,['Abdulla Qodiriy']
شاهنامه حکیم ابوالقاسم فردوسی: مجلّدِ یکم / Book of Kings (Vol. 1),,"['Poetry', 'Classics']",مجلّدِ یکم از پنجم، از آغازِ کتاب تا پایانِ تراژدیِ رستم و سهراب؛ همراه‌با مقدّمه و شرحِ واژگان و تعبیرات به‌کوششِ دکتر سیّدمحمّد دبیرسیاقی,,,01/01/60,1991,[],Hardcover,,9999999999999,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1335952391l/6660085.jpg,4.54,[],85.0,1.0,,,,94.0,65.0,532,شرکتِ انتشاراتِ علمی و فرهنگی,"['50', '7', '4', '1', '3']",,[],,['Abolqasem Ferdowsi']
المقصد الأسنى في شرح أسماء الله الحسنى,,"['Islam', 'Religion', 'Nonfiction', 'Theology', 'Spirituality', 'Classics']","In this work, here presented in a complete English edition for the first time, the problem of knowing God is confronted in an original and stimulating way. Taking up the Prophet's teaching that 'Ninety-nine Beautiful Names' are truly predicated of God, the author explores the meaning and resonance of each of these divine names, and reveals the functions they perform both in the cosmos and in the soul of the spiritual adept. Although some of the book is rigorously analytical, the author never fails to attract the reader with his profound mystical and ethical insights, which, conveyed in his sincere and straightforward idiom, have made of this book one of the perennial classics of Muslim thought, popular among Muslims to this day.",,الطبعة الأولى,01/06/92,2003,[],Paperback,,9780946621316,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1331638863l/13100548.jpg,4.5,[],90.0,1.0,,,,98.0,365.0,232,دار الكتب العلمية,"['244', '72', '40', '6', '3']",,[],,['Abu Hamid Al-Ghazali']
مختصر إحياء علوم الدين,,"['Islam', 'Religion', 'Nonfiction', 'Indonesian Literature', 'Spirituality']","إن تطهير النفس وتزكيتها مهمة من مهمات الرسل ؛ لذا فعلى المسلم أن يعمل على تزكية نفسه وتطهيرها من الأمراض والآفات ؛ ليترتب على ذلك تهذيب السلوك في التعامل مع الله ومع الناس ، ومن خلال تهذيب النفس يستطيع الإنسان أن يتحكم في جوارحه وفق ما أمر الله به ، وتطهير النفس وتهذيبها لا يتحقق إلا بالعبادة والعمل ، فعندما يؤدي الإنسان حق ربه ، ويؤدي حق نفسه ، ويؤدي حق الناس عليه ؛ فإن ثمرة ذلك وآثاره سوف تظهر عليه وعلى مجتمعه ، ولقد وضع الإمام الغزالي كتابه "" إحياء علوم الدين "" لكي يوضح الطريق الصحيح لكيفية تطهير النفس وربطها بربها ودينها ، ودنياها وآخرتها ، فكتابه قد ضم بين جنباته وسائل ذلك ؛ ولذلك فقد تعلق الناس قديما وحديثا بهذا الكتاب حتى قيل إنه لم يؤلف في الإسلام مثله ، ولقد قام أخو الإمام الغزالي باختصار كتابه الإحياء وحذف منه الموضوع وأغلب الضعيف ، كما حذف المكررات ، ؛ ليكون بين يدي القارئ ، عملا نافعا وضعت فيه معان أحسن صياغتها لتقدم علاجا نافعا للإنسان ولمشكلات العصر الذي الذي نعيش فيه التي من أبرزها ؛ الخواء الروحي وتغلب الشهوات والحسد والعجب بالنفس ؛ فجاء هذا المختصر ليضع بين يدي القارئ العلاج النافع لهذه الأمراض",,,,2008,[],Paperback,,9999999999999,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1229032320l/5989602.jpg,4.22,[],98.0,1.0,,,,91.0,516.0,416,الهيئة المصرية العامة للكتاب,"['283', '123', '66', '28', '16']",,[],,['Abu Hamid Al-Ghazali']
المنقذ من الضلال والمفصح بالأحوال,,"['Philosophy', 'Islam', 'Religion', 'Nonfiction', 'Biography', 'Spirituality', 'Theology', 'Classics', 'Mysticism', 'Autobiography']","النيل والفرات:ألف الغزالي المنقذ من الضلال بعد عودته من عزلته التي قضاها متنقلا بين الشام والقدس ومكة. إذن فهو يقع في المرحلة الثانية من حياة الغزالي، مرحلة النضج وتوضيح الخيارات النهائية. وفي المنقذ من الضلال يذكر أن سنه قد نافت على الخمسين مما يحدد وضعه الكتاب أواخر عام 499هـ وبدايات عام 500هـ في نيسابور،حين عاد إلى التدريس في نظاميتها لتبيان حقيقة النبوة. أما دافع الغزالي إلى تأليف كتابه هذا وهدفه منه، وكما يبدو من مقدمته، أنه رسالة إلى أخ في الدين، يطلب فيها هذا الأخير من الغزالي أن يبث إليه ""غاية العلوم وأسرارها, وغائلة المذاهب وأغوارها، وأحكي لك ما قاسيته في استخلاص الحقائق بين اضطراب الفرق"". وإذا كان ذلك هو الدافع الحقيقي، أو أن هناك دوافع أخرى، فإن الملاحظ أن الغزالي أراد من خلال منقذه أن يبين لنا مسار حياته الفكرية والروحية، وكيفية خروجه من الشك وصولا إلى خياراته النهائية في الحصول على نور اليقين، والتصديق النهائي. إن دواعي التصديق لم يجدها الغزالي لا في علم الكلام ولا في الفلسفة ولا في مذهب التعليمية. بل عند الصوفية فهل يكون الهدف من كتاب المنقذ تبيان صحة مذهب الصوفية. وما هي الاعتبارات التي حدته إلى اعتماد هذا الخيار؟ هل هي اعتبارات فكرية، روحية، أم سياسية. الإجابة عن هذه التساؤلات توجب قراءة واعية لهذا الكتاب، ومهما يكن من أمر وكيفما جاءت الإجابات فان المرء لا يستطيع أن ينكر بأن غرض الغزالي الأساسي هو إنقاذ الناس من الضلال والإفصاح عن الأحوال، ولا يكون ذلك إلا بنشر حقيقة النبوة، وما بان من خلال هذه الحقيقة. وتجدر الإشارة ‘إلى أن مخطوط هذا الكتاب يعود نسخه إلى عامين فقط بعد وفاة الغزالي أي عام 507 هجرية وهي أقدم نسخ عثر عليها حتى الآن، وبالتالي فإنها ستكون أكثر دقة من غيرها وأقل ابتعاداً عن المصدر الأساسي، وما يمكن أن يكون قد دخل عليها من تحريفات مقصودة أو إسقاطات غير مقصودة. وقد تميزت هذه الطبقة بعمل المحقق الذي شمل تعريفاً بعصر الغزالي وحياته ووصف للمخطوط وتحليل لمضمون كتاب ""المنقذ من الضلال"" مع شرح له وتعليق عليه.",,,11/06/07,Published,[],Paperback,,9999999999999,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1249436410l/6676685.jpg,4.02,[],88.0,1.0,,,,91.0,2050.0,104,دار الفكر اللبناني - بيروت,"['865', '606', '397', '121', '61']",,[],,['Abu Hamid Al-Ghazali']
طوق الحمامة في الألفة والألاف,,"['Philosophy', 'Nonfiction', 'Poetry', 'Classics', 'Islam', 'Literature', 'History', 'Religion', 'Romance', 'Unfinished']","كتاب طوق الحمامة أو طوق الحمامة في الألفة والألاف هو كتاب لابن حزم الأندلسي وصف بأنه أدق ما كتب العرب في دراسة الحب ومظاهره وأسبابه. ترجم الكتاب إلى العديد من اللغات العالمية.واسم الكتاب كاملاً طوق الحمامة في الألفة والأُلاف. ويحتوي الكتاب على مجموعة من أخبار وأشعار وقصص المحبين، ويتناول الكتاب بالبحث والدَّرس عاطفة الحب الإنسانية على قاعدة تعتمد على شيء من التحليل النفسي من خلال الملاحظة والتجربة. فيعالج ابن حزم في أسلوب قصصي هذه العاطفة من منظور إنساني تحليلي. والكتاب يُعد عملاً فريدًا في بابه.Ibn Hazm's Tawq al-Hamama ('The Ring of the Dove')The famous Arabic book on love and lovers, Tawq al-hamâma ('the Ring of the Dove'), is a splendid witness to the high age of Islamic culture in Spain. The book was written in or around 1022 CE in Játiva, south of Valencia, by Abu Muhammad `Ali Ibn Hazm al-Andalusi (Córdoba, 994-1064 CE). It is a youth work by this famous Andalusian poet, philosopher, jurist and scholar of comparative religion.In thirty chapters Ibn Hazm treats thirty moments or personages that are of relevance to love relationships, such as the signs of love, love at first sight, amorous allusions, correpondence between lovers, the messenger between the lovers, being together, fidelity and unfidelity, separation, death. Ibn Hazm alternates from theoritical observations to anecdotes of daily life and he ornates his essays with an abundance of appropriate poetry. The anecdotes are often very peronal and they give the reader a enthralling view on life and love in Islamic Córdoba. All poetry in the Ring of the Dove is Ibn Hazm's own.The Ring of the Dove has been preserved in only one manuscript, which is, since 1665, part of the Oriental collections of Leiden University Library (where it is registered as Or. 927). It was copied in 1338 CE, most probably in Egypt or Syria, from an original that is now lost. The manuscript was first acquired in Istanbul in the middle of the 17th century by the learned and bibliophile Dutch ambassador to the Sublime Porte, Levinus Warner (1619-1665). After his death his entire collection of books and manuscripts came to Leiden.The first edition of the Arabic text was made by the Russian D.K. Pétrof and was published in Leiden in 1914. Before that R.P.A. Dozy (1820-1883) had already published several fragments. All later editions and the numerous translations of the book are directly, or, mostly, indirectly based on the Leiden manuscript. Together they are proof to the fact that Ibn Hazm in his book on love and lovers treats themes that are for all humans in all times.",,,11/06/22,2006,[],Paperback,,9789953435022,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327852446l/5582346.jpg,3.9,[],72.0,1.0,,,,91.0,5150.0,328,دار مكتبة الحياة,"['1714', '1785', '1211', '317', '123']",,[],,['Abu Muhammad Ali Ibn Hazm']
التاريخ الإسلامي: مقدمة قصيرة جداً,,"['History', 'Religion', 'Islam', 'Nonfiction', 'Politics', 'Philosophy', 'Historical', 'Law', 'Education', 'Textbooks']",كيف صعد نجم الإسلام من غياهب شبه الجزيرة العربية في القرن السابع ليتصدَّر العناوين في وسائل إعلام القرن الحادي والعشرين؟ ولماذا تقف المجتمعات الإسلامية والغربية غالبًا على طرفي نقيض، مع أن الإسلام بدأ كديانة توحيدية في الشرق الأدنى تمامًا مثلما حدث مع الغرب المسيحي-اليهودي؟في هذه المقدمة القصيرة جدًّا، يتناول آدم جيه سيلفرستاين ظهور الإسلام وانتشاره بدءًا من القرن السابع وحتى القرن الحادي والعشرين، موضحًا خطوات تطور ما كان في الأصل مجتمعًا صغيرًا من المؤمنين تجمعهم بقعة واحدة إلى دين عالمي يربو عدد أتباعه على المليار.يتناول سيلفرستاين بالتحليل الدور الذي يلعبه التاريخ الإسلامي في السياقين الديني والسياسي، مُلقيًا الضوء على الخلافات المحيطة بدراسته، والأهمية التي يحظى بها لدى المسلمين وغير المسلمين على حدٍّ سواء,مقدمة قصيرة جداً #220,,12/21/09,2014,[],ebook,,9789777193238,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1383625321l/18695189.jpg,3.28,[],99.0,1.0,,,,81.0,564.0,142,مؤسسة هنداوي للتعليم والثقافة,"['70', '166', '221', '67', '40']",,[],,['Adam J. Silverstein']
جريمة في بغداد,,"['Mystery', 'Fiction', 'Crime', 'Classics', 'Detective', 'Mystery Thriller', 'Thriller', 'British Literature', 'Adventure', 'Novels']","تم اختيار بغداد كموقع لعقد قمة سرية بين القوتين العظميين. ولكن الخبر تسرب للأسف, وهناك منظمة سرية في الشرق الأوسط تخطط لإفساد الاجتماع. وفي قلب هذا الموقف الملتهب؛ سقطت فيكتوريا جونز, وهي فتاة محبة للمغامرات لكنها تجد نفسها في موقف لاتحسد عليه عندما يقتحم عميل سري جريح الغرفة التي تنزل فيها بأحد الفنادق ثم يخر صريعاً, وتحاول فيكتوريا أن تجد معنى للكلمات التي نطق بها : "" ... الشيطان... البصرة... ليفارج..."".",,,03/05/51,2011,"['Victoria Jones', 'Edward Goring', 'Henry Carmichael', 'Richard Baker', 'Mr. & Mrs. Clayton', 'Marcus Tio', 'Sir Rupert Crofton Lee', 'Lionel Shrivenham', 'Anna Scheele', 'Mr. Dakin', 'Dr. Pauncefoot Jones', 'Mr. & Mrs. Hamilton Clipp', 'Mrs. Cardew Trench', 'Dr. Rathbone', 'Captain Crosbie']",Paperback,,9780007154937,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1272581723l/8104960.jpg,3.8,[],94.0,1.0,,,,93.0,14756.0,392,مكتبة جرير,"['3706', '5665', '4326', '891', '168']",,"['Iraq', 'Baghdad (Iraq)']",,['Agatha Christie']
ذاكرة الجسد,,"['Novels', 'Fiction', 'Romance', 'Algeria', 'Literature', 'Africa', 'Historical Fiction', 'Drama', 'Love', '20th Century']",في حضور الوجدان تتألق معاني أحلام مستغانمي، وفي ذاكرة الجسد تتوج حضورها، حروفاً كلمات عبارات تتقاطر في حفل الغناء الروحي. موسيقاه الوطن المنبعث برغم الجراحات... مليون شهيد وثورة ومجاهد، وجزائر الثكلى بأبنائها تنبعث زوابع وعواصف الشوق والحنين في قلب خالد الرسام الذي امتشق الريشة بعد أن هوت يده التي حملت السلاح يوماً، والريشة والسلاح سيّان، كلاهما ريشة تعزف على أوتار الوطن. ففي فرنسا وعندما كان يرسم ما تراه عيناه، جسر ميرابو ونهر السين، وجد أن ما يرسمه هو جسراً آخر ووادياً آخر لمدينة أخرى هي قسنطينة، فأدرك لحظتها أنه في كل حال لا يرسم ما نسكنه، وإنما ما يسكننا. وهل كانت أحلام مستغانمي تكتب ذاكرة الجسد أم أنها تكتب ذاكرة الوطن؟!! الأمر سيّان فما الجسد إلا جزء من الوطن وما الوطن إلا هذا الجسد الساكن فيه إلى الأبد. تتقاطر الذكرى مفعمة بروح الماضي الذي يأبى إلا الحضور في كل شيء متجسداً السي طاهر التي كما عرفها خالد طفلة رجل قاد خطواته على درب الكفاح؛ عرفها أنثى... كانت من الممكن أن تكون حبيبته، زوجته، ولكنها باتت زوجة في زواج لم يحضره، تلف الذكرى الصفحات، وتتهادى العبارات ممسكة بتلابيب الذكريات دون أن توقظ النفس ملل الحضور. الوطن والحبيبة يجتمعان، والثورة والحب ينصهران في بوتقة واحدة، ومزيجهما عطاء فكري، بعيد عن الخيال، للواقع أقرب، وللإنسان في صدق مشاعره وأحاسيسه أقرب وأقرب.,ثلاثية ذاكرة الجسد #1,ط25,01/01/93,2010,[],Paperback,,9789953890531,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1291756684l/2501458.jpg,3.83,['جائزة نجيب محفوظ للأدب (Naguib Mahfouz Award for Literature) (1998)'],1642.0,18.0,,,,87.0,23451.0,404,دار الآداب,"['8288', '7008', '5095', '1952', '1108']",,['Algeria'],,['Ahlam Mosteghanemi']
